l,m,Clm,Slm,sigmaClm,sigmaSlm
19,1,-8.97158188216359e-09,1.19351790338528e-09,4.523096362e-13,4.955107223e-13
19,2,3.57388371471962e-08,-2.37015979063608e-09,5.04179714e-13,4.703196442e-13
19,3,-7.560325562540741e-09,1.1029036907498401e-09,5.228404586e-13,5.201446131e-13
19,4,1.58085379630551e-08,-8.142787584372491e-09,6.389021593e-13,6.29307444e-13
19,5,1.03889228527421e-08,2.74505357043879e-08,7.494062013e-13,7.512487754e-13
19,6,-4.7996454970199605e-09,1.87563790081893e-08,9.818737791e-13,9.759964933e-13
19,7,5.641343774683151e-09,-8.741920183559151e-09,1.186737546e-12,1.187496245e-12
19,8,2.98891166523339e-08,-9.99215899666339e-09,1.469137519e-12,1.466925576e-12
19,9,3.28811224665918e-09,7.237854814952131e-09,1.684703892e-12,1.682559102e-12
19,10,-3.38785599522056e-08,-7.579041014370651e-09,2.000512629e-12,2.000660689e-12
19,11,1.63045986043663e-08,1.03569678194585e-08,2.22315725e-12,2.22388513e-12
19,12,-2.4398229534465904e-09,9.45624397342968e-09,2.652058577e-12,2.650322835e-12
19,13,-7.54129981811845e-09,-2.85237528001317e-08,2.89133601e-12,2.887966919e-12
19,14,-4.7436745466713506e-09,-1.28504936248119e-08,3.427925668e-12,3.43339334e-12
19,15,-1.75897089065384e-08,-1.40715825139566e-08,4.160343375e-12,4.157559988e-12
19,16,-2.17451255571334e-08,-7.097677920512991e-09,4.032228623e-12,4.041966031e-12
19,17,2.88044882586693e-08,-1.53426366311999e-08,5.739159899e-12,5.726117931e-12
19,18,3.50090299803503e-08,-9.689810398862311e-09,6.916828699e-12,6.917011807e-12
19,19,-2.7041387189266502e-09,5.19745751787224e-09,5.728483263e-12,5.730262786e-12
20,0,2.15591507033563e-08,0.0,4.604922769e-13,0.0
20,1,5.567694203527981e-09,7.0290521488570305e-09,4.419744032e-13,4.847390558e-13
20,2,2.02918579297024e-08,1.71846424016348e-08,4.918625038e-13,4.585379483e-13
20,3,-4.750671308432541e-09,3.88999361019568e-08,5.066182375e-13,5.041198236e-13
20,4,4.27003612219999e-09,-2.26257406735223e-08,6.095848051e-13,6.00294507e-13
20,5,-1.01257213338814e-08,-8.259923525022261e-09,7.119764068e-13,7.138919518e-13
20,6,1.21620484764481e-08,-4.3640238388230805e-09,9.197533955e-13,9.141398012e-13
20,7,-2.12263060369801e-08,-7.05320978718748e-10,1.125355827e-12,1.126182705e-12
20,8,5.095162138607751e-09,2.1537920188292302e-09,1.375120547e-12,1.372867518e-12
20,9,1.71870322955948e-08,-7.012742886137231e-09,1.620624824e-12,1.618518957e-12
20,10,-3.22958167727745e-08,-4.789733403177041e-09,1.858294603e-12,1.859304663e-12
20,11,1.44499209074778e-08,-1.91512412341219e-08,2.180525829e-12,2.181030704e-12
20,12,-6.467505667716701e-09,1.81349181903443e-08,2.378005072e-12,2.376355241e-12
20,13,2.74124121971504e-08,6.763820005928101e-09,2.857560646e-12,2.855362782e-12
20,14,1.15262785907965e-08,-1.43820399199974e-08,3.075365508e-12,3.078510279e-12
20,15,-2.57906406507802e-08,-8.65059449398313e-10,3.692732251e-12,3.68992553e-12
20,16,-1.24242154429344e-08,-3.43443068287856e-10,4.252450806e-12,4.255853118e-12
20,17,4.503433547290681e-09,-1.37322621927409e-08,4.215098888e-12,4.204164091e-12
20,18,1.53567048646754e-08,-8.97483616979646e-10,5.978691038e-12,5.983913383e-12
20,19,-3.0301194282749504e-09,1.09224394426113e-08,7.284088331e-12,7.285749958e-12
20,20,3.73507214738094e-09,-1.26949126479726e-08,6.017275278e-12,6.022075547e-12
21,0,6.2497718472714205e-09,0.0,4.533890707e-13,0.0
21,1,-1.61584960390177e-08,2.86922505251025e-08,4.34792168e-13,4.771258201e-13
21,2,-5.616695744748901e-09,4.1789577346587e-09,4.829629777e-13,4.500543673e-13
21,3,1.91460394251428e-08,2.27233961252948e-08,4.946010177e-13,4.922398908e-13
21,4,-5.10972529743564e-09,1.89848723340178e-08,5.876923943e-13,5.786318815e-13
